event_img-src,event_title,event_tags,event_dates_html,venue_name,venue_url_html,event_url_html,event_item_html,event_date_span,Days,Time
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Brit_Floyd2-300x300.jpg","Brit Floyd","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 25</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl>","Fox Theatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/brit-floyd/"">Brit Floyd</a>","<td class=""thumb"">
	<a title=""Brit Floyd"" href=""https://atlantaplanit.wabe.org/events/brit-floyd/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Brit_Floyd2-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Brit_Floyd2-300x300.jpg 300w, /wp-content/uploads/2017/02/Brit_Floyd2-63x63.jpg 63w, /wp-content/uploads/2017/02/Brit_Floyd2.jpg 417w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/brit-floyd/"">Brit Floyd</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 25</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, May 25</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/fox-theatre/"">Fox Theatre</a></span></dd></dl>	</td>","May 25","Thu, May 25","8pm – 10:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Jan_Smith_-_jansmithcom-300x300.jpg","“Mama Jan” Smith","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>6pm – 9pm</td></tr></tbody></table></dd></dl>","Eddie’s Attic","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/eddies-attic/"">Eddie’s Attic</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/mama-jan-smith/"">“Mama Jan” Smith</a>","<td class=""thumb"">
	<a title=""“Mama Jan” Smith"" href=""https://atlantaplanit.wabe.org/events/mama-jan-smith/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Jan_Smith_-_jansmithcom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Jan_Smith_-_jansmithcom-300x300.jpg 300w, /wp-content/uploads/2017/05/Jan_Smith_-_jansmithcom-63x63.jpg 63w, /wp-content/uploads/2017/05/Jan_Smith_-_jansmithcom.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/mama-jan-smith/"">“Mama Jan” Smith</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>6pm – 9pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/eddies-attic/"">Eddie’s Attic</a></span></dd></dl>	</td>","May 13","Sat, May 13","6pm – 9pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Soulful_Jazz_Cafe-300x300.jpg","Soulful Jazz Cafe","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Porter Sanford III Performing Arts Center","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/porter-sanford-iii-performing-arts-center/"">Porter Sanford III Performing Arts Center</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/soulful-jazz-cafe/"">Soulful Jazz Cafe</a>","<td class=""thumb"">
	<a title=""Soulful Jazz Cafe"" href=""https://atlantaplanit.wabe.org/events/soulful-jazz-cafe/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Soulful_Jazz_Cafe-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Soulful_Jazz_Cafe-300x300.jpg 300w, /wp-content/uploads/2017/04/Soulful_Jazz_Cafe-63x63.jpg 63w, /wp-content/uploads/2017/04/Soulful_Jazz_Cafe.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/soulful-jazz-cafe/"">Soulful Jazz Cafe</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/porter-sanford-iii-performing-arts-center/"">Porter Sanford III Performing Arts Center</a></span></dd></dl>	</td>","May 13","Sat, May 13","8pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Highly_Suspect_-_NPR-300x300.jpg","Highly Suspect","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>11pm – 2am</td></tr></tbody></table></dd></dl>","Masquerade, The","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/masquerade-the/"">Masquerade, The</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/highly-suspect/"">Highly Suspect</a>","<td class=""thumb"">
	<a title=""Highly Suspect"" href=""https://atlantaplanit.wabe.org/events/highly-suspect/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Highly_Suspect_-_NPR-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Highly_Suspect_-_NPR-300x300.jpg 300w, /wp-content/uploads/2017/05/Highly_Suspect_-_NPR-63x63.jpg 63w, /wp-content/uploads/2017/05/Highly_Suspect_-_NPR.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/highly-suspect/"">Highly Suspect</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 12</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>11pm – 2am</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/masquerade-the/"">Masquerade, The</a></span></dd></dl>	</td>","May 12","Fri, May 12","11pm – 2am"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg","Muse","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 6</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jun 6</td><td>7pm – 10:30pm</td></tr></tbody></table></dd></dl>","Lakewood Amphitheatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/muse/"">Muse</a>","<td class=""thumb"">
	<a title=""Muse"" href=""https://atlantaplanit.wabe.org/events/muse/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/02/Muse_-_panjurycom-300x300.jpg 300w, /wp-content/uploads/2017/02/Muse_-_panjurycom-63x63.jpg 63w, /wp-content/uploads/2017/02/Muse_-_panjurycom.jpg 417w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/muse/"">Muse</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 6</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jun 6</td><td>7pm – 10:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>	</td>","Jun 6","Tue, Jun 6","7pm – 10:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg","Fusion II: L’Esprit de la Dance","Dance Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl>","Atlanta","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a>","<td class=""thumb"">
	<a title=""Fusion II: L’Esprit de la Dance"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/04/Ballethnic_-_Fusion-300x300.jpg 300w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion-63x63.jpg 63w, /wp-content/uploads/2017/04/Ballethnic_-_Fusion.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/fusion-ii-lesprit-de-la-dance-2/"">Fusion II: L’Esprit de la Dance</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/dance/"" rel=""tag"">Dance</a> <a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 14</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, May 14</td><td>3pm – 5pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/atlanta-2/"">Atlanta</a></span></dd></dl>	</td>","May 14","Sun, May 14","3pm – 5pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/CHM_-_logo.jpg","Chatt Hills Music Series","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4, 2016 – Jun 17, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Mar 4<br>Fri, Mar 10<br>Sat, Apr 15<br>Sat, May 13<br>Sat, Jun 17</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>","Serenbe Community","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/"">Chatt Hills Music Series</a>","<td class=""thumb"">
	<a title=""Chatt Hills Music Series"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/06/CHM_-_logo.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/06/CHM_-_logo.jpg 280w, /wp-content/uploads/2016/06/CHM_-_logo-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chatt-hills-music-series/"">Chatt Hills Music Series</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Mar 4, 2016 – Jun 17, 2017</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Mar 4<br>Fri, Mar 10<br>Sat, Apr 15<br>Sat, May 13<br>Sat, Jun 17</td><td>8pm – 10pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/serenbe-community/"">Serenbe Community</a></span></dd></dl>	</td>","Mar 4, 2016 – Jun 17, 2017","Sat, Mar 4Fri, Mar 10Sat, Apr 15Sat, May 13Sat, Jun 17","8pm – 10pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg","Kiefer Sutherland","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>8pm – 11pm</td></tr></tbody></table></dd></dl>","Terminal West","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/terminal-west/"">Terminal West</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/"">Kiefer Sutherland</a>","<td class=""thumb"">
	<a title=""Kiefer Sutherland"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-300x300.jpg 300w, /wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom-63x63.jpg 63w, /wp-content/uploads/2017/05/Kiefer_Sutherland_-_avclubcom.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/kiefer-sutherland/"">Kiefer Sutherland</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 17</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Wed, May 17</td><td>8pm – 11pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/terminal-west/"">Terminal West</a></span></dd></dl>	</td>","May 17","Wed, May 17","8pm – 11pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg","Sounds Of The Big Bands","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 9:30pm</td></tr></tbody></table></dd></dl>","Johns Creek United Methodist Church","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/johns-creek-united-methodist-church/"">Johns Creek United Methodist Church</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/"">Sounds Of The Big Bands</a>","<td class=""thumb"">
	<a title=""Sounds Of The Big Bands"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/""><img width=""300"" height=""300"" src=""/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-300x300.jpg 300w, /wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands-63x63.jpg 63w, /wp-content/uploads/2017/03/Sounds_Of_The_Big_Bands.jpg 477w"" sizes=""(max-width: 300px) 100vw, 300px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/sounds-of-the-big-bands/"">Sounds Of The Big Bands</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>May 13</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 13</td><td>8pm – 9:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/johns-creek-united-methodist-church/"">Johns Creek United Methodist Church</a></span></dd></dl>	</td>","May 13","Sat, May 13","8pm – 9:30pm"
"https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg","Chance The Rapper","Music","<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 11</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jun 11</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl>","Lakewood Amphitheatre","<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>","<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/"">Chance The Rapper</a>","<td class=""thumb"">
	<a title=""Chance The Rapper"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/""><img width=""280"" height=""280"" src=""/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg"" class=""attachment-planit-300-sq size-planit-300-sq wp-post-image"" alt="""" srcset=""/wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv.jpg 280w, /wp-content/uploads/2016/08/Chance_the_Rapper_-_mtv-63x63.jpg 63w"" sizes=""(max-width: 280px) 100vw, 280px""></a>	</td>
	<td class=""title"">
		<a class=""main-link"" href=""https://atlantaplanit.wabe.org/events/chance-the-rapper-magnificent-coloring-world-tour/"">Chance The Rapper</a>	</td>
	<td class=""tags"">
		<span class=""cat-links""><a href=""/music/"" rel=""tag"">Music</a></span>	</td>
	<td class=""timetable"">
		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><i class=""fa fa-calendar-o"" aria-hidden=""true""></i><span>Jun 11</span></dd></dl>		<dl class=""pi-field dates"" title=""Dates""><dt></dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jun 11</td><td>8pm – 10:30pm</td></tr></tbody></table></dd></dl>	</td>
	<td class=""venue hide-if-list-view"">
		<dl class=""pi-field venue"" title=""Venue""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span><a href=""https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/"">Lakewood Amphitheatre</a></span></dd></dl>	</td>","Jun 11","Sun, Jun 11","8pm – 10:30pm"
